City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,buraydah,26.326,43.975,288.4,39,76,3.03,SA,1675632889
247,pringsewu,-5.3582,104.9744,295.59,77,100,0.63,ID,1675632890
248,presidencia roque saenz pena,-26.7852,-60.4388,307.29,18,3,1.85,AR,1675632890
249,gonbad-e qabus,37.25,55.1672,277.68,35,0,2.04,IR,1675632891
250,esperance,-33.8667,121.9,293.47,64,64,7.13,AU,1675632891
251,kungurtug,50.5994,97.5228,251.79,99,99,0.73,RU,1675632891
252,aykhal,66.0,111.5,236.81,100,95,1.17,RU,1675632892
253,moelv,60.9333,10.7,265.66,94,97,1.19,NO,1675632634
254,bukama,-9.2,25.85,292.74,97,76,1.34,CD,1675632893
255,hambantota,6.1241,81.1185,297.34,100,40,2.57,LK,1675632893
256,puerto carreno,6.189,-67.4859,304.14,55,20,6.17,CO,1675632894
257,lagoa,39.05,-27.9833,288.38,83,99,5.52,PT,1675632894
258,san jose,37.3394,-121.895,287.52,73,75,6.17,US,1675632886
259,lompoc,34.6391,-120.4579,290.25,74,75,7.72,US,1675632895
260,vardo,70.3705,31.1107,266.14,93,100,11.32,NO,1675632895
261,katsuura,35.1333,140.3,281.32,81,1,3.18,JP,1675632896
262,deulgaon raja,20.0167,76.0333,292.28,31,0,1.61,IN,1675632896
263,santa rosa,14.3122,121.1114,299.14,85,82,2.54,PH,1675632896
264,dakoro,14.5106,6.765,298.79,15,47,4.55,NE,1675632897
265,kalmunai,7.4167,81.8167,297.44,87,100,3.77,LK,1675632897
266,nemuro,43.3236,145.575,267.95,78,77,1.78,JP,1675632898
267,royan,45.6285,-1.0281,279.72,79,59,6.32,FR,1675632898
268,vladyslavivka,45.1667,35.3667,275.96,87,100,7.89,UA,1675632898
269,tefe,-3.3542,-64.7114,302.21,84,75,9.26,BR,1675632899
270,poso,-1.3959,120.7524,300.01,78,98,1.14,ID,1675632899
